25,62
12,31
12,31
13,31
12,32
11,32
10,33
11,33
12,33
12,32
12,33
12,34
11,33
10,34
9,34
10,33
9,34
8,35
7,35
7,35
6,35
5,35
6,34
6,34
6,33
6,34
5,34
5,34
6,33
6,33
6,33
7,33
7,34
8,33
7,34
7,34
8,33
7,34
7,34
7,33
6,34
7,35
8,34
8,35
8,36
9,35
8,35
9,36
9,36
8,37
9,36
9,36
9,35
10,36
11,36
12,36
12,37
13,38
14,39
14,40
15,40
15,41
16,42
15,43
14,42
13,43
12,43
12,44
11,44
10,45
9,44
8,45
9,46
10,46
11,46
10,46
9,46
8,47
7,46
6,47
5,48
4,49
4,48
5,48
6,48
5,47
4,47
4,46
5,47
6,46
5,46
6,47
7,47
8,46
8,47
7,46
7,46
6,47
6,47
7,46
6,46
6,46
6,45
5,46
6,45
6,44
7,44
6,43
6,44
5,45
5,44
5,43
4,42
3,42
2,43
2,42
2,41
3,41
4,40
3,39
4,38
4,39
4,40
4,39
4,40
3,39
2,38
2,38
3,39
4,39
4,38
3,39
3,39
3,39
2,40
3,41
4,41
3,40
4,41
4,40
5,40
5,41
6,42
7,43
8,42
9,42
9,42
10,42
11,43
10,43
9,42
10,41
11,42
10,42
10,41
9,40
10,39
11,40
11,41
11,40
12,41
13,40
14,40
14,40
13,39
12,38
11,37
11,38
12,39
12,39
13,39
14,38
13,39
12,39
13,39
12,38
11,38
10,38
11,37
12,37
11,36
11,35
11,36
11,37
11,36
10,36
10,36
9,36
10,37
11,37
11,38
11,39
12,39
13,38
12,39
11,40
12,40
11,40
12,41
11,42
11,43
12,43
12,43
11,44
12,44
13,44
13,44
14,43
14,42
13,43
12,43
12,43
13,42
13,41
13,42
12,42
13,43
13,43
13,43
13,43
13,42
14,41
13,42
13,43
13,44
14,45
15,45
16,46
15,47
14,48
14,48
15,49
16,48
16,47
15,46
14,46
15,45
16,44
16,43
17,44
16,45
15,44
15,44
15,43
14,44
15,43
16,42
16,41
15,41
15,40
16,41
17,40
16,40
15,39
16,40
17,39
17,39
18,39
18,38
17,39
17,38
16,39
15,38
14,37
13,38
13,37
13,38
13,39
13,39
12,38
13,37
13,38
14,39
15,38
16,39
15,38
16,39
15,40
15,41
14,42
14,42
14,43
14,42
15,42
16,43
15,42
16,42
16,43
16,42
15,43
15,43
15,44
15,45
14,46
14,47
14,47
15,48
14,48
13,47
14,46
14,47
15,47
14,47
13,48
12,48
11,48
12,47
13,47
12,48
12,48
13,47
12,46
12,47
12,48
12,48
12,47
13,47
13,47
13,47
13,47
14,47
14,47
15,47
15,47
14,48
15,48
16,48
16,49
17,48
16,47
17,47
18,48
18,48
17,49
17,48
17,47
17,48
18,47
17,46
17,47
16,46
16,47
16,47
16,46
17,45
17,45
17,45
18,45
18,44
18,43
17,43
18,42
18,42
17,43
17,43
16,43
17,44
17,44
18,45
17,46
18,47
18,48
19,47
19,47
20,46
20,47
20,46
19,47
20,47
20,46
20,45
21,44
22,44
23,44
24,44
24,43
25,42
